Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,FRA,,,48.33000183,,,,,,51.06999969,,,,,,,46.09999847,,,,47.59000015,47.04999924,46.11999893,46.27999878,53.2193985,52.01520157,51.4054985,51.2820015,49.5802002,46.41529846,45.24720001,44.56869888,39.91460037,39.47990036,38.03329849,36.39300156,35.49000168,34.96279907,33.91389847,33.94660187,35.80970001,35.48130035,35.75310135,36.88809967,37.14250183,36.69499969,38.07289886,38.08309937,38.41880035,38.49160004,39.55860138,38.9095993,37.93190002,37.40930176,37.37810135,36.46310043,37.20289993,37.04330063,36.90209961,37.53469849,36.90639877,
Faroe Islands,FRO,80.69000244,,,,,,26.45000076,,,,66.58000183,,,,,,,58.31999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74710083,,,,,,
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.86999893,,,,,,,,,,,,,,,,,18.26000023,,,,,,,,,,
United Kingdom,GBR,,75.38999939,,,,,72.20999908,,,,,67.12000275,,,,,,,,,,62.83000183,,64.30780029,66.207901,69.59069824,69.76740265,70.76370239,71.12249756,72.64900208,71.78800201,70.11949921,67.89620209,66.00669861,64.62779999,63.65430069,64.38880157,64.30940247,63.84790039,63.00529861,63.4070015,61.88999939,62.38639832,61.17879868,61.5603981,62.21670151,62.30540085,61.39179993,61.24100113,59.21820068,58.4435997,58.21260071,58.63679886,58.32049942,57.80950165,58.5245018,58.33570099,57.48350143,57.09199905,56.63949966,
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.15999985,37.04999924,36.38000107,34.77999878,38.22000122,32.20999908,33.81000137,30.70000076,31.20000076,36.15999985,38.52119827,39.43889999,41.22679901,41.70349884,40.74879837,41.44620132,42.37319946,39.88460159,44.4382019,40.44250107,38.07839966,
Ghana,GHA,63.88999939,,,,,,,,,,54.86999893,,,,,,,,,,,,,,,,,,,41.70000076,,,46.70000076,,,,,,68.13999939,68.09999847,53.79000092,,,,,,31.68000031,,,,44.61000061,,,53.90750122,,43.42660141,,31.89789963,,,
Gibraltar,GIB,,,,,,,,,,,74.54000092,,,,,,,,,,,69.87999725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,51.31000137,,,,,,,,,,,,,,,,,,,47.21340179,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,66.36000061,,,,,,,,,,40.65000153,,,,,,,,,,,,,,,,,,,41.38909912,,,,,,17.20439911,,
